품목명,HS코드
감귤류의 껍질,814001000
멜론(수박을 포함한다)의 껍질,814002000
카페인을 제거하지 않은 것,901110000
카페인을 제거한 것,901120000
커피의 껍데기와 껍질,901901000
커피를 함유한 커피 대용물,901902000
녹차(발효하지 않은 것으로서 내용물의 무게가 3킬로그램 이하로 내용물에 직접 접하여 포장된 것으로 한정한다),902100000
그 밖의 녹차(발효하지 않은 것으로 한정한다),902200000
홍차(발효차)와 부분 발효차(내용물의 무게가 3킬로그램 이하로 내용물에 직접 접하여 포장된 것으로 한정한다),902300000
그 밖의 홍차(발효차)와 그 밖의 부분 발효차,902400000
마테(maté),903000000
부수지도 잘게 부수지도 않은 것,904110000
부수거나 잘게 부순 것,904120000
건조한 것(부수지도 잘게 부수지도 않은 것),904210000
계피[신나모멈 제이나이쿰 블룸(Cinnamomum zeylanicum Blume)],906110000
아니스(anise)나 대회향(大茴香)의 씨,909611000
캐러웨이(caraway)의 씨,909612000
회향(茴香)의 씨와 주니퍼(juniper)의 열매,909613000
신선한 것이나 냉장한 것,910111000
"냉동한 것
",910113000
사프란(saffron),910200000
심황[강황(薑黃)],910300000
카레,910911000
타임과 월계수의 잎,910991000
종자,1001110000
메슬린(meslin),1001911000
제분용,10019920
맥주보리,1003101000
겉보리,1003102000
쌀보리,1003103000
팝콘용,1005902000
벼,1006100000
메현미,1006201000
찰현미,1006202000
멥쌀,1006301000
찹쌀,1006302000
쇄미(broken rice),1006400000
메밀,1008100000
조,1008211000
카나리시드(canary seed),1008300000
포니오(Fonio)[디지타리아(Digitaria)속],1008400000
퀴노아(quinoa)[체노포디움 퀴노아(Chenopodium quinoa)],1008500000
라이밀(triticale),1008600000
그 밖의 곡물,1008900000
밀가루,1101001000
메슬린(meslin) 가루,1101002000
옥수수가루,1102200000
보릿가루,1102901000
쌀가루,1102902000
호밀가루,1102903000
밀로 만든 것,1103110000
옥수수로 만든 것,1103130000
보리로 만든 것,1103191000
귀리로 만든 것,1103192000
쌀로 만든 것,1103193000
율무로 만든 것,1104291000
고운 가루ㆍ거친 가루ㆍ가루,1105100000
플레이크(flake)ㆍ알갱이ㆍ펠릿(pellet),1105200000
건조한 채두류(菜豆類)의 것(제0713호의 것으로 한정한다),1106100000
칡뿌리의 것,1106201000
제8류 물품의 것,1106300000
볶지 않은 것,1107100000
훈연(燻煙)한 것,1107201000
식품용,1108121000
감자로 만든 것,1108130000
고구마로 만든 것,1108191000
이눌린(inulin),1108200000
밀의 글루텐(gluten)(건조했는지에 상관없다),1109000000
콩나물용,1201101000
채유용과 탈지대두박(脫脂大豆粕)용,1201901000
꼬투리를 벗기지 않은 것,1202301000
꼬투리를 벗긴 것(부수었는지에 상관없다),1202302000
코프라(copra),1203000000
아마씨(부수었는지에 상관없다),1204000000
사료작물 재배용 종자,1205101000
해바라기씨(부수었는지에 상관없다),1206000000
팜너트(palm nut)와 핵(核),1207100000
피마자,1207300000
참깨,1207400000
겨자씨,1207500000
잇꽃[카르타무스 틴크토리우스(Carthamus tinctorius)] 종자,1207600000
멜론 종자,1207700000
양귀비씨,1207910000
들깨,1207991000
시어너트(shea nut)[캐리트너트(karite nut)],1207992000
대두로 만든 것,1208100000
고추ㆍ단고추류(Capsicum annuum)의 종자,1208901000
사탕무 종자,1209100000
루우산(lucerne)(알팔파) 종자,1209210000
클로버(clover)[트리폴리엄(Trifolium)속] 종자,1209220000
페스큐(fescue) 종자,1209230000
켄터키블루그래스(kentucky blue grass)[포아프래텐시스 엘(Poa pratensis L.)] 종자,1209240000
라이그래스(rye grass) 종자[로리엄 멀티플로럼 램(Lolium multiflorum Lam)ㆍ로리엄 페레네 엘(Lolium perenne L.)],1209250000
루핀(lupine) 종자,1209291000
수단그래스(Sudan grass) 종자,1209292000
오차드그래스(orchard grass) 종자,1209293000
티모디그래스(timothy grass) 종자,1209294000
